Name,Book,Feat Type,Bonus Feat?,Prerequisites,Description
Thri-Kreen Poison,CPsi 58,"Racial, Psionic",No,"Thri-Kreen, poison",Use poison 3 times/day
"Xeph Burst, Extra",CPsi 59,"Racial, Psionic",No,Xeph,Use burst 3 times/day
Xeph Celerity,CPsi 59,"Racial, Psionic",No,Xeph,Use burst to gain an extra attack
Ascetic Stalker,CSco 73,General,Monk,"Ki power, ki strike (magic)",Monk and ninja levels stack for unarmed strike damage and ki pool
Cool Head,CSco 75,General,No,Any two mental skill tricks,*Learn two mental skill tricks and increase skill trick limit by one
Daredevil Athlete,CSco 76,General,No,none,Gain +5 competence bonus on physical skill check 3/day
Daring Outlaw,CSco 76,General,No,"Grace +1, sneak attack +2d6","Rogue and swashbuckler levels stack for grace, dodge bonus, and sneak attack"
Daring Warrior,CSco 76,General,Fighter,"Grace +1, Weapon Specialization ","Fighter and swashbuckler levels stack for grace, dodge bonus, and feats"
Deadly Defense,CSco 76,General,Fighter,none, +1d6 damage with light weapons when fighting defensively
Expanded Ki Pool,CSco 77,General,No,Ki power,Gain three extra uses of your ki power
Enduring Ki,CSco 77,General,No,Ki power,Spend extra use of ki to add 1 round to duration
Freerunner,CSco 77,General,No,Any two movement skill tricks,"*Learn two movement skill tricks, increase skill trick limit by one"
Improved Familiar,CSco 78,General,No,"Ability to acquire a new familiar, compatible alignment, sufficiently high arcane spellcaster level",Gain better familiar
Improved Skirmish,CSco 78,General,Scout,Skirmish +2d6/+1 AC,"Move 20 feet to gain +2d6 points of damage, +2 AC"
Martial Stalker,CSco 79,General,Fighter,"Proficiency with all martial weapons, ki power","Fighter and ninja levels stack for ki pool, AC bonus, and feats"
Master Spellthief,CSco 79,General,No,"Ability to cast 2nd-level arcane spells, steal spell",Spellthief and arcane spellcaster levels stack for steal spell and arcane caster level; cast arcane spells in light armor
Poison Expert,CSco 80,General,No,"Poison use, Craft (poisonmaking) 8 ranks",Your poisons’ save DC is 1 higher
Poison Master,CSco 80,General,No,"Poison use, Craft (poisonmaking) 8 ranks, Poison Expert",Your poisons deal +1 damage/die
Psithief,CSco 80,General,No,"Manifester level 1st, steal spell",Steal power points instead of spells; gain new class skills
Savvy Rogue,CSco 80,General,No,Rogue level 10th,Your rogue special abilities improve
Sure Hand,CSco 81,General,No,Any two manipulation skill tricks,*Learn two manipulation skill tricks and increase skill trick limit by one
Sweet Talker,CSco 81,General,No,Any two interaction skill tricks,"Learn two interaction skill tricks, increase skill trick limit by one"
Swift Ambusher,CSco 81,General,Scout,"Skirmish +1d6/+1 AC, sneak attack +1d6",Rogue and scout levels stack for skirmish bonuses
Swift Hunter,CSco 81,General,Scout,"Favored enemy, skirmish +1d6/+1 AC","Ranger and scout levels stack for skirmish bonuses, favored enemies"
Concussion Attack,CSco 75,Ambush,No,Sneak attack +3d6,Trade 2d6 sneak attack damage to apply –2 penalty to opponent’s Int checks and Wis checks
Deafening Strike,CSco 76,Ambush,No,Sneak attack +4d6,Trade 3d6 sneak attack damage to deafen target for 3 rounds
Disemboweling Strike,CSco 76,Ambush,No,"Sneak attack +5d6, Weapon Focus (any slashing)",Trade 4d6 sneak attack damage to deal 1d4 Con damage
Eldritch Erosion,CSco 77,Ambush,No,"Sneak attack +4d6, Knowledge (arcana) 1 rank",Trade 3d6 sneak attack damage to reduce SR/PR by 5
Head Shot,CSco 77,Ambush,No,"Sneak attack +6d6, Weapon Focus (any bludgeoning)",Trade 5d6 sneak attack damage to confuse target for 1 round
Impeding Attack,CSco 78,Ambush,No,Sneak attack +4d6,Trade 3d6 sneak attack damage to apply –2 penalty to opponent’s Str checks and Dex checks
Merciful Strike,CSco 79,Ambush,No,Sneak attack +2d6,Trade 1d6 sneak attack damage to deal nonlethal damage
Mind Drain,CSco 79,Ambush,No,"Power point reserve, sneak attack +2d6",Trade 1d6 sneak attack damage to drain power points
Persistent Attacker,CSco 80,Ambush,No,Sneak attack +5d6,Trade 4d6 sneak attack damage to allow sneak attack in next round
Throat Punch,CSco 82,Ambush,No,"Improved Unarmed Strike, sneak attack +3d6",Trade 2d6 sneak attack damage to hinder target’s speech for 3 rounds
Chant of the Long Road ,CSco 74,Bardic Music,No,"Bardic music, Perform 6 ranks",*Bardic music allows allies to move overland more quickly
Chord of Distraction,CSco 75,Bardic Music,No,"Bardic music, Perform 9 ranks",Bardic music renders target flat-footed against one ally
Epic of the Lost King,CSco 77,Bardic Music,No,"Bardic music, Perform 6 ranks",Bardic music removes fatigue and exhaustion
Sound of Silence,CSco 81,Bardic Music,No,"Bardic music, Perform 9 ranks",Bardic music deafens a target
Warning Shout,CSco 82,Bardic Music,No,"Bardic music, Perform 9 ranks, evasion","Bardic music grants evasion, +5 morale bonus on next Reflex save"
Advantageous Avoidance,CSco 73,Luck,No,"Character level 3rd, any luck feat","Expend luck reroll to force foe to reroll critical threat confirmation, or three luck rerolls to force foe to reroll attack"
Better Lucky than Good,CSco 74,Luck,No,"Character level 6th, any two luck feats",Expend luck reroll to treat natural 1 on attack as natural 20 instead
Dumb Luck,CSco 77,Luck,No,"Character level 6th, any two luck feats",Expend luck reroll to treat natural 1 on save as natural 20 instead
Fortuitous Strike,CSco 77,Luck,No,"Character level 6th, any luck feat","Expend luck reroll to reroll attack, or two luck rerolls to reroll damage"
Good Karma,CSco 77,Luck,No,Character level 3rd,Expend luck reroll to redirect attack against ally to you
Healer’s Luck,CSco 78,Luck,No,none,Reroll amount cured by healing spell
Lucky Break,CSco 79,Luck,No,none,Reroll Strength check to break item or burst door
Lucky Catch,CSco 79,Luck,No,none,"Reroll Balance, Climb, or Jump check"
Lucky Fingers,CSco 79,Luck,No,none,"Reroll Disable Device, Open Lock, or Sleight of Hand check"
Lucky Start,CSco 79,Luck,No,none,Reroll initiative check
Magical Fortune,CSco 79,Luck,No,"Caster level 3rd, any luck feat","Expend luck reroll to reroll damage dealt by spell, or two luck rerolls to reroll caster level check"
Make Your Own Luck,CSco 79,Luck,No,"Character level 6th, any luck feat",Reroll a skill check
Miser’s Fortune,CSco 80,Luck,No,none,Your items get +5 bonus on saves; expend luck reroll to force foe to reroll a sunder attack or Str check to damage nearby object
Psychic Luck,CSco 80,Luck,No,"Manifester level 3rd, any luck feat ","Expend luck reroll to reroll damage dealt by power, or two luck rerolls to reroll manifester level check"
Sly Fortune,CSco 81,Luck,No,none,"Reroll Hide, Move Silently, or Tumble check"
Survivor’s Luck,CSco 81,Luck,No,"Character level 9th, any luck feat",Reroll a saving throw
Tempting Fate,CSco 81,Luck,No,"Character level 6th, any luck feat","Reroll stabilization check, expend luck reroll to avoid being killed"
Third Time’s the Charm ,CSco 81,Luck,No,"Character level 3rd, any luck feat, Luck domain",Reroll again with Luck domain granted power
Unbelievable Luck,CSco 82,Luck,No,Any luck feat,Gain two luck rerolls and +2 luck bonus on worst save
Victor’s Luck,CSco 82,Luck,No,none,Reroll critical threat confirmation
Arcane Strike,CWar 96,General,No,"Ability to cast 3rd-level arcane spells, base attack bonus +4",Sacrifice a spell for +1 on attacks and +1d4 damage per level of the spell
Arterial Strike,CWar 96,General,No,"Sneak attack ability, base attack bonus +4",Trade 1d6 sneak attack damage for 1 point of damage per round
Axiomatic Strike,CWar 96,General,No,"Ki strike (lawful), Stunning Fist", +2d6 unarmed damage against chaotic opponent
Clever Wrestling,CWar 97,General,No,"Small or Medium size, Improved Unarmed Strike",Gain circumstance bonus to escape grapple or pin
Close-Quarters Fighting,CWar 97,General,Fighter,Base attack bonus +3,Use counterattack to resist grapple
Dash,CWar 97,General,No,none,Speed + 5 feet in light or no armor
Defensive Strike,CWar 97,General,Fighter,"Dex 13, Int 13, Combat Expertise, Dodge",*+4 bonus on attack roll after successful total defense
Defensive Throw,CWar 97,General,No,"Dex 13, Combat Reflexes, Dodge, Improved Trip, Improved Unarmed Strike",Trip attempt after foe’s attack misses
Destructive Rage,CWar 97,General,No,Rage or frenzy ability, +8 bonus on Strength checks to break objects
Earth’s Embrace,CWar 97,General,No,"Str 15, Improved Grapple or improved grab, Improved Unarmed Strike",Extra damage while pinning an opponent
Eagle Claw Attack,CWar 97,General,No,"Wis 13, Improved Sunder, Improved Unarmed Strike",Add Wis modifier to damage against objects
Extend Rage,CWar 97,General,No,Rage or frenzy ability,Rage lasts +5 rounds
Extra Rage,CWar 98,General,No,Rage or frenzy ability,Number of rages per day increased by two
Extra Smiting,CWar 98,General,No,"Smite ability, base attack bonus +4",Number of smite attempts per day increased by two
Extra Stunning,CWar 98,General,No,"Stunning Fist, base attack bonus +2",Number of stunning attacks per day increased by three
Eyes in the Back of Your Head,CWar 98,General,No,"Wis 13, base attack bonus +1",Opponents do not gain flanking benefit
Faster Healing,CWar 98,General,No,Base Fortitude save bonus +5,*Heal hit points and ability damage faster than normal
Favored Power Attack,CWar 98,General,No,"Favored enemy ability, Power Attack, base attack bonus +4",Trade attack bonus for damage at greater rate against favored enemies
Fists of Iron,CWar 99,General,No,"Improved Unarmed Strike, Stunning Fist, base attack bonus +2", +1d6 damage on unarmed attacks
Fleet of Foot,CWar 99,General,No,"Dex 15, Run",Make one direction change during a run or charge
Flick of the Wrist,CWar 99,General,No,"Dex 17, Sleight of Hand 5 ranks, Quick Draw",Cause opponent to be flat-footed for one attack
Flying Kick,CWar 99,General,No,"Str 13, Jump 4 ranks, Improved Unarmed Strike, Power Attack", +1d12 damage on unarmed attacks when charging
Freezing the Lifeblood,CWar 99,General,Fighter,"Wis 17, Improved Unarmed Strike, Stunning Fist, base attack bonus +10",Paralyze opponent with unarmed strike
Greater Resiliency,CWar 99,General,No,Damage reduction ability,Increase damage reduction by +1
Greater Two-Weapon Defense,CWar 100,General,Fighter,"Dex 19, Improved Two-Weapon Fighting, Two-Weapon Defense, Two-Weapon Fighting, base attack bonus +11",Gain shield bonus when fighting with two weapons
Hamstring,CWar 100,General,No,"Sneak attack ability, base attack bonus +4",Trade 2d6 sneak attack damage to cut opponent’s speed in half
Hold the Line,CWar 100,General,No,"Combat Refl exes, base attack bonus +2",Make attack of opportunity against charging foe
Improved Buckler Defense,CWar 100,General,Fighter,Shield Proficiency,Apply buckler’s shield bonus to AC while using off-hand weapon
Improved Combat Expertise,CWar 100,General,Fighter,"Int 13, Combat Expertise, base attack bonus +6",Reduce your attack bonus to improve your AC
Improved Familiar,CWar 100,General,No,"Ability to acquire a new familiar, compatible alignment, sufficient arcane spellcaster level and base attack bonus",Gain a more combat-oriented familiar
Improved Favored Enemy,CWar 101,General,No,"Favored enemy ability, base attack bonus +5", +3 bonus on damage against favored enemies
Improved Mounted Archery,CWar 101,General,Fighter,"Ride 1 rank, Mounted Archery, Mounted Combat",Reduce or eliminate attack penalties with ranged weapon while mounted
Improved Rapid Shot,CWar 101,General,Fighter,"Manyshot, Point Blank Shot, Rapid Shot",Ignore –2 penalty when using Rapid Shot
Improved Toughness,CWar 101,General,Fighter,Base Fortitude save bonus +2,Gain hp equal to your current HD
Improved Two-Weapon Defense,CWar 101,General,Fighter,"Dex 17, Two-Weapon Defense, Two-Weapon Fighting, base attack bonus +6",Gain shield bonus when fighting with two weapons
Improved Weapon Familiarity,CWar 101,General,Fighter,Base attack bonus +1,"Racial weapons are martial, not exotic"
Instantaneous Rage,CWar 102,General,No,Rage or frenzy ability,Rage even when it isn’t your turn
Intimidating Rage,CWar 102,General,No,Rage or frenzy ability,Cause single foe within 30 feet to become shaken
Karmic Strike,CWar 102,General,No,"Dex 13, Combat Expertise, Dodge",Take –4 penalty to AC to make attack of opportunity against melee opponent that hits you
Kiai Shout,CWar 102,General,No,"Cha 13, base attack bonus +1",Affected opponents become shaken for 1d6 rounds
Greater Kiai Shout,CWar 99,General,No,"Cha 13, Kiai Shout, base attack bonus +9",Foes who hear your shout may panic
Monkey Grip,CWar 103,General,No,Base attack bonus +1,Use larger melee weapons at –2 penalty
Pain Touch,CWar 103,General,No,"Wis 15, Stunning Fist, base attack bonus +2",Stunned opponents become nauseated for 1 round
Phalanx Fighting,CWar 103,General,Fighter,"Proficiency with a heavy shield, base attack bonus +1",Bonus to AC and Reflex saves while fighting in shield wall
Pin Shield,CWar 103,General,No,"Two-Weapon Fighting, base attack bonus +4",Render opponent’s shield useless temporarily
Power Critical,CWar 103,General,Fighter,"Weapon Focus with weapon, base attack bonus +4", +4 bonus to confirm critical with one weapon
Prone Attack,CWar 103,General,Fighter,"Dex 15, Lightning Reflexes, base attack bonus +2",Attack while prone at no penalty and stand up
Ranged Disarm,CWar 103,General,Fighter,"Dex 15, Point Blank Shot, Precise Shot, base attack bonus +5",Use ranged weapon to disarm foe within 30 feet
Ranged Pin,CWar 104,General,Fighter,"Dex 15, Point Blank Shot, Precise Shot, base attack bonus +5",Use ranged weapon to grapple foe within 30 feet
Ranged Sunder,CWar 104,General,Fighter,"Str 13, Point Blank Shot, Precise Shot, Ranged Pin, base attack bonus +5",Use ranged weapon to sunder foe’s weapon at reduced damage penalty
Rapid Stunning,CWar 104,General,Fighter,"Combat Reflexes, Stunning Fist, base attack bonus +6",Use one additional stunning attack per round
Roundabout Kick,CWar 105,General,No,"Str 15, Improved Unarmed Strike, Power Attack",Additional unarmed attack against opponent on which you have just scored a critical hit
Sharp-Shooting,CWar 105,General,Fighter,"Point Blank Shot, Precise Shot, base attack bonus +3",Halve opponent’s cover bonus
Shield Charge,CWar 105,General,Fighter,"Improved Shield Bash, base attack bonus +3",Free trip attack with shield during charge
Shield Slam,CWar 105,General,Fighter,"Improved Shield Bash, Shield Charge, base attack bonus +6",Use shield to daze opponent
Swarmfighting,CWar 105,General,No,"Small size, Dex 13, base attack bonus +1","Occupy same square as other swarmfighting ally, gain +1 morale bonus per ally (up to Dex bonus)"
Throw Anything,CWar 105,General,No,"Dex 15, proficiency with weapon, base attack bonus +2",Throw melee weapon with no penalty
Weakening Touch,CWar 106,General,Fighter,"Wis 17, Improved Unarmed Strike, Stunning Fist, base attack bonus +2",Cause foe’s Strength to drop by 6 for 1 minute
Zen Archery,CWar 106,General,No,"Wis 13, base attack bonus +1",Use Wis instead of Dex for ranged attacks
Divine Cleansing,CWar 106,Divine,No,Turn or rebuke undead ability,Gain +2 sacred bonus on Fortitude saves
Divine Resistance,CWar 106,Divine,No,"Turn or rebuke undead ability, Divine Cleansing","Gain resistance to cold 5, electricity 5, and fire 5"
Divine Might,CWar 106,Divine,No,"Str 13, turn or rebuke undead ability, Power Attack",Add Cha bonus to weapon damage
Divine Shield,CWar 106,Divine,No,"Turn or rebuke undead ability, proficiency with a shield",Add Cha bonus as sacred bonus to your shield’s defense
Divine Vigor,CWar 108,Divine,No,Turn or rebuke undead ability,"Increase base speed by 10 ft., gain +2 hp/level"
Sacred Vengeance,CWar 108,Divine,No,Turn or rebuke undead ability, +2d6 points of damage on melee attacks against undead
Cavalry Charger,CWar 108,Tactical,Fighter,"Mounted Combat, Spirited Charge, Trample, base attack bonus +6",Gain three maneuvers for when mounted and charging
Combat Brute,CWar 110,Tactical,Fighter,"Improved Sunder, Power Attack, base attack bonus +6","Gain one maneuver each for bull rush, sunder, and charge + PowerAttack"
Elusive Target,CWar 110,Tactical,No,"Dodge, Mobility, base attack bonus +6",Gain 2 Dodge maneuvers and one AoO maneuver
Formation Expert,CWar 110,Tactical,Fighter,Base attack bonus +6,Gain three maneuvers based on fighting adjacent to allies
Giantbane,CWar 111,Tactical,No,"Medium or smaller size, Tumble 5 ranks, base attack bonus +6",Gain three maneuvers for when fighting a foe larger than you
Raptor School,CWar 111,Tactical,No,"Wis 13, Jump 5 ranks, base attack bonus +6","Gain one maneuve each for charging/jumping down, feinting, or taking a round to observe your enemy"
Shock Trooper,CWar 112,Tactical,Fighter,"Improved Bull Rush, Power Attack, base attack bonus +6",Gain two maneuvers for bull rush and one for charge + Power Attack
Sun School,CWar 112,Tactical,No,"Flurry of blows ability, base attack bonus +4","Gain two maneuvers for when you hit a foe twice and one for if you can move adjacent to a foe instantaneously, as with teleport"
Anvil of Thunder,CWar 112,Weapon Style,No,"Str 13, Improved Sunder, Power Attack, Two-Weapon Fighting, Weapon Focus (warhammer or light hammer), Weapon Focus (battleaxe, handaxe, or dwarven waraxe)",Target hit with both axe and hammer becomes dazed if it fails Fortitude save
Bear Fang,CWar 112,Weapon Style,No,"Str 15, Power Attack, Two-Weapon Fighting, Weapon Focus (dagger), Weapon Focus (battleaxe, handaxe, or dwarven waraxe)",Free grapple attempt against target hit with both dagger and axe
Crescent Moon,CWar 113,Weapon Style,No,"Improved Disarm, Improved Two-Weapon Fighting, Two-Weapon Fighting, Weapon Focus (dagger), Weapon Focus (bastard sword, longsword, scimitar, or short sword)",Free disarm attempt against target hit with both dagger and sword
Hammer’s Edge,CWar 113,Weapon Style,No,"Str 15, Improved Bull Rush, Two-Weapon Fighting, Weapon Focus (bastard sword, longsword, or scimitar), Weapon Focus (warhammer or light hammer)",Target hit with both sword and hammer falls prone if it fails Fortitude save
High Sword Low Axe,CWar 113,Weapon Style,No,"Improved Trip, Two-Weapon Fighting, Weapon Focus (bastard sword, longsword, scimitar, or short sword), Weapon Focus (battleaxe, handaxe, or dwarven waraxe)",Free trip attempt against target hit with both sword and axe
Lightning Mace,CWar 113,Weapon Style,No,"Combat Reflexes, Two-Weapon Fighting, Weapon Focus (light mace)",Gain extra attack after scoring threat while wielding two light maces
Net and Trident,CWar 114,Weapon Style,No,"Dex 15, Exotic Weapon Proficiency (net), Two-Weapon Fighting, Weapon Focus (trident)",Make combined attack with net and trident
Quick Staff,CWar 114,Weapon Style,No,"Combat Expertise, Dodge, Two-Weapon Fighting, Weapon Focus (quarterstaff)",Gain extra dodge bonus when wielding quarterstaff
Spinning Halberd,CWar 114,Weapon Style,No,"Combat Reflexes, Two-Weapon Fighting, Weapon Focus (halberd)",Gain dodge bonus and extra attack when making full attack with halberd
Three Mountains,CWar 114,Weapon Style,No,"Str 13, Cleave, Improved Bull Rush, Power Attack, Weapon Focus (heavy mace, morningstar, or greatclub)","Target hit twice with mace, morningstar, or greatclub becomes nauseated if it fails Fortitude save"
Clever Wrestling,Drcn 103,General,No,"Improved Unarmed Strike, size Small or Medium",Escape grapple or pin more easily
Cunning Sidestep,Drcn 103,General,No,"Improved Unarmed Strike, Clever Wrestling, size Small or Medium",Avoid a bull rush or trip attack more easily
Close-Quarters Fighting,Drcn 103,General,No,Base attack bonus +3,Avoid being grappled more easily
Overhead Thrust,Drcn 106,General,No,"Close-Quarters Fighting, Power Attack, base attack bonus +6",Make attack of opportunity against foe attacking from above
Deft Strike,Drcn 103,General,No,"Int 13, Combat Expertise, Spot 10 ranks, sneak attack +1d6",Successful Spot check allows your next attack to ignore target’s armor bonuses
Dragon Cohort,Drcn 104,General,No,"Character level 9th, Speak Language (Draconic)",Gain the service of a loyal dragon ally
Dragon Familiar,Drcn 104,General,No,"Cha 13, Speak Language (Draconic), arcane spellcaster level 7th, ability to acquire a new familiar, compatible alignment",Choose wyrmling dragon as new familiar
Dragon Hunter,Drcn 104,General,No,Wis 13,Gain better defense against dragons’ attacks
Dragon Hunter Bravery,Drcn 104,General,No,"Wis 13, Dragon Hunter",Dragons’ frightful presence less effective against you and your allies
Dragon Hunter Defense,Drcn 104,General,No,"Wis 13, Dragon Hunter",Gain evasion against breath weapon plus save bonus against dragons’ magical attacks
Dragon Steed,Drcn 105,General,No,"Cha 13, Ride 8 ranks, Speak Language (Draconic)",Dragonnel serves as loyal mount for you
Dragon Wild Shape,Drcn 105,General,No,"Wis 19, Knowledge (nature) 15 ranks, wild shape ability",You can take the form of a dragon
Dragoncrafter,Drcn 105,General,No,Knowledge (arcana) 2 ranks,You can create dragoncraft items
Dragonfoe,Drcn 105,General,No,Int 13,You are more adept at attacking dragons
Dragonbane,Drcn 105,General,No,"Int 13, Dragonfoe, base attack bonus +6",Single attack deals extra damage against dragons
Dragondoom,Drcn 105,General,No,"Int 13, Dragonfoe, Dragonbane, base attack bonus +10",Your critical hits against dragons deal tremendous damage
Dragonfriend,Drcn 105,General,No,"Cha 11, Speak Language (Draconic)",Good dragons regard you as an ally
Dragonsong,Drcn 105,General,No,"Cha 13, Knowledge (arcana) 4 ranks, Perform 6 ranks, Speak Language (Draconic)",Your verbal performances are enhanced
Dragonthrall,Drcn 105,General,No,Speak Language (Draconic),Evil dragons regard you as an ally
Frightful Presence,Drcn 106,General,No,"Cha 15, Intimidate 9 ranks",Gain frightful presence ability
Sense Weakness,Drcn 106,General,No,"Int 13, Combat Expertise, Weapon Focus",Your attacks more easily overcome damage reduction or hardness
Adroit Flyby Attack,Drcn 67,General,No,"Fly speed 90, Flyby Attack, Hover or Wingover",Move before and after attacking
Improved Maneuverability,Drcn 70,General,No,"Fly speed 150, Hover or Wingover",Maneuverability improves one step
Large and in Charge,Drcn 71,General,No,"Natural reach 10 feet, size Large or larger",Push back foe attempting to close
Power Climb,Drcn 72,General,No,"Str 15, fly speed (average maneuverability)",Gain altitude without losing speed
Power Dive,Drcn 72,General,No,"Str 15, fly speed (average maneuverability)",Knock down target for extra damage
Dire Charge,Drcn 68,Epic,No,Improved Initiative,Make full attack after charging
Epic Fortitude,Drcn 70,Epic,No,none, +4 bonus on Fortitude saves
Epic Reflexes,Drcn 70,Epic,No,none, +4 bonus on Reflex saves
Epic Will,Drcn 70,Epic,No,none, +4 bonus on Will saves
Fast Healing,Drcn 70,Epic,No,Con 25,Fast healing ability improves by 3
Improved Spell Capacity,Drcn 71,Epic,No,Ability to cast spells of the normal maximum spell level in at least one spellcasting class,Gain extra spell slot
Overwhelming Critical,Drcn 72,Epic,No,"Str 23, Cleave, Great Cleave, Improved Critical, Power Attack, Weapon Focus",Deal extra damage on successful critical hit
Devastating Critical,Drcn 68,Epic,No,"Str 25, Cleave, Great Cleave, Improved Critical, Power Attack, Weapon Focus, Overwhelming Critical",Critical hit forces foe to save or die
Spellcasting Harrier,Drcn 74,Epic,No,Combat Reflexes,Casting defensively becomes more difficult for casters you threaten
Clinging Breath,Drcn 67,Metabreath,No,"Con 13, breath weapon",Breath deals extra damage 1 round later
Lingering Breath,Drcn 71,Metabreath,No,"Con 15, breath weapon, Clinging Breath",Breath remains as cloud for 1 round
Enlarge Breath,Drcn 70,Metabreath,No,"Con 13, breath weapon",Length of breath weapon increases by 50%
Heighten Breath,Drcn 70,Metabreath,No,"Con 13, breath weapon",Increase save DC against breath weapon
Maximize Breath,Drcn 71,Metabreath,No,"Con 17, breath weapon","Maximize breath weapon’s variable, numeric effects"
Quicken Breath,Drcn 73,Metabreath,No,"Con 19, breath weapon",Use breath weapon as free action
Recover Breath,Drcn 73,Metabreath,No,"Con 17, breath weapon",Use breath weapon more often
Shape Breath,Drcn 73,Metabreath,No,"Con 13, breath weapon, size Small or larger",Expel breath weapon as line or cone
Split Breath,Drcn 74,Metabreath,No,"Con 13, breath weapon, Shape Breath, size Small or larger",Divide breath weapon into two attacks
Spreading Breath,Drcn 74,Metabreath,No,"Con 15, breath weapon, Shape Breath, size Small or larger",Expel breath weapon as spread effect
Extend Spreading Breath,Drcn 70,Metabreath,No,"Con 15, breath weapon, Shape Breath, Spreading Breath, size Small or larger",Expel breath weapon as spread effect that can be used at range
Tempest Breath,Drcn 74,Metabreath,No,"Str 13, breath weapon, Power Attack, size Large or larger",Breath weapon also produces wind effects
Awaken Frightful Presence,Drcn 67,Monstrous,No,"Cha 11, dragon type",Gain frightful presence ability
Awaken Spell Resistance,Drcn 67,Monstrous,No,"Con 13, dragon type",Gain spell resistance ability
Draconic Knowledge,Drcn 69,Monstrous,No,"Int 19, true dragon, any three Knowledge skills",Bardic Knowledge like ability
Embed Spell Focus,Drcn 69,Monstrous,No,"Con 13, dragon type, ability to cast spells",Focus component becomes a part of you
Endure Blows,Drcn 70,Monstrous,No,"Con 13, dragon type, Toughness",Gain damage reduction 2/—
Improved Speed,Drcn 71,Monstrous,No,"Str 13, dragon type","Fly speed +20 ft., other speeds +10 ft."
Improved Multiattack,Drcn 70,Monstrous,No,"Three or more natural weapons, Multiattack",No penalty on secondary attacks
Rapidstrike,Drcn 73,Monstrous,No,"Dex 9, one or more pairs of natural weapons, aberration, dragon, elemental, magical beast, or plant type, base attack bonus +10",Make one extra natural weapon attack at a –5 penalty
Improved Rapidstrike,Drcn 70,Monstrous,No,"Dex 9, one or more pairs of natural weapons, aberration, dragon, elemental, magical beast, or plant type, base attack bonus +15, Rapidstrike",Make multiple extra natural weapon attacks at a cumulative –5 penalty
Shock Wave,Drcn 73,Monstrous,No,"Str 13, dragon type, size Large, Power Attack, size Huge or larger",Knock down foes by hitting ground with tail
Improved Snatch,Drcn 71,Monstrous,No,Snatch,Use snatch against bigger targets
Multisnatch,Drcn 72,Monstrous,No,"Str 17, Snatch",Penalty to maintain hold lessens to –10
Rend,Drcn 73,Monstrous,No,"Two claw attacks, Str 13, Snatch, Power Attack",Deal extra damage on claw attacks
Snatch and Swallow,Drcn 73,Monstrous,No,"Con 19, dragon type, Snatch, Improved Snatch",Swallow opponent held in mouth
Tail Constrict,Drcn 74,Monstrous,No,"Dragon, Snatch, Improved Snatch","Grab opponents with tail, deal extra tail slap damage"
Suppress Weakness,Drcn 74,Monstrous,No,"Energy vulnerability, Iron Will",Lessen vulnerability to energy type
Overcome Weakness,Drcn 72,Monstrous,No,"Energy vulnerability, Iron Will, Suppress Weakness",Remove vulnerability to energy type
Tail Sweep Knockdown,Drcn 74,Monstrous,No,Tail sweep attack,Tail sweep knocks opponents prone
Whirlwind Tail Sweep,Drcn 75,Monstrous,No,Tail sweep attack,"Tail sweep affects full circle, not semicircle"
Wingstorm,Drcn 75,Monstrous,No,"Str 13, dragon type, fly speed 20, Hover, Power Attack, size Large or larger",Use wings to create wind effects against foes
Air Bloodline,DrC 91,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Anarchic Bloodline,DrC 92,Bloodline,No,Ability to cast arcane spells without preparation,*Sorcerous bloodline grants extra spells
Axiomatic Bloodline,DrC 92,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Celestial Bloodline,DrC 93,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Celestial Light,DrC 93,Bloodline,No,"Celestial Bloodline, ability to cast 2nd-level arcane spells",Cast light five times per day
Draconic Bloodline,DrC 96,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Dragon Sight,DrC 97,Bloodline,No,"Draconic Bloodline, ability to cast 2nd-level arcane spells",Cast detect magic three times per day
Earth Bloodline,DrC 97,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Fey Bloodline,DrC 98,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Fey's Fate,DrC 98,Bloodline,No,"Fey Bloodline, ability to cast 2nd-level arcane spells", +1 bonus on saves
Fiendish Bloodline,DrC 98,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Fire Bloodline,DrC 99,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Friend of the Earth,DrC 99,Bloodline,No,"Earth Bloodline, ability to cast 2nd-level or higher arcane spells", +3 to Climb and Tumble on stone
Illithid Bloodline,DrC 100,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
Kin Mastery,DrC 101,Bloodline,No,"Any bloodline feat, ability to cast 3rd-level arcane spells",Turn/rebuke ancestors once per day
Lawful Discipline,DrC 101,Bloodline,No,"Axiomatic Bloodline, ability to cast 2nd-level arcane spells", +2 save vs. mind-affecting
Mind Weapon,DrC 102,Bloodline,No,"Illithid Bloodline, ability to cast 2nd-level arcane spells",Cast daze three times per day
Necromantic Bloodline,DrC 102,Bloodline,No,Ability to cast arcane spells without preparation,Sorcerous bloodline grants extra spells
